Um, ﻿Um
horária, horária
ocupará, ocupar
o, o
lugar, lugar
no, em o
grid, grid
imediatamente, imediatamente
posterior, posterior
ao, a o
último, último
classificado, classificado
do, de o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
mesmo, mesmo
que, que
seu, seu
tempo, tempo
seja, ser
superior, alto
até, até
ao, a o
do, de o
pole, pole
position, position
., .

, 

Ou, ou
seja, ser
,, ,
a, o
única, único
posição, posição
garantida, garantir
é, ser
a, o
do, de o
pole, pole
position, position
,, ,
definida, definir
ontem, ontem
no, em o
pole, pole
day, day
(, (
dia, dia
do, de o
pole, pole
), )
., .

, 

Completadas, Completadas
as, o
33, 33
vagas, vaga
,, ,
ocorrem, ocorrer
as, o
outras, outro
duas, dois
repescagens, repescagem
,, ,
no, em o
final, final
de, de
semana, semana
que, que
vem, vir
., .

, 

Aí, aí
,, ,
os, o
carros, carro
mais, mais
lentos, lento
,, ,
que, que
conseguiram, conseguir
as, o
últimas, último
colocações, colocação
no, em o
grid, grid
provisório, provisório
,, ,
correm, correr
o, o
risco, risco
de, de
serem, ser
eliminados, eliminar
., .

, 

Se, se
um, um
piloto, piloto
faz, fazer
média, média
superior, alto
à, a o
do, de o
mais, mais
lento, lento
do, de o
grid, grid
,, ,
este, este
último, último
cai, cair
fora, fora
_, _
esteja, estar
ele, ele
na, em o
posição, posição
que, que
estiver, estar
_, _
e, e
o, o
novo, novo
classificado, classificado
passa, passar
a, a
ocupar, ocupar
a, o
33ª, 33ª
vaga, vaga
do, de o
grid, grid
., .

, 

Por, por
esse, esse
motivo, motivo
,, ,
quem, quem
fizer, fizer
,, ,
já, já
no, em o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
uma, um
boa, bom
média, média
,, ,
praticamente, praticamente
garante, garantir
seu, seu
lugar, lugar
na, em o
corrida, corrida
., .

, 

Esta, este
é, ser
a, o
estratégia, estratégia
dos, de o
brasileiros, brasileiro
em, em
geral, geral
,, ,
mas, mas
principalmente, principalmente
de, de
Mauricio, Mauricio
Gugelmin, Gugelmin
,, ,
o, o
mais, mais
rápidos, rápido
entre, entre
os, o
corredores, corredor
do, de o
Brasil, Brasil
nos, em o
treinos, treino
livres, livre
_, _
não, não
classificatórios, classificatório
_, _
desta, de este
semana, semana
., .

, 

A, a
partir, partir
de, de
amanhã, amanhã
,, ,
o, o
carro, carro
principal, principal
do, de o
piloto, piloto
deve, dever
ficar, ficar
na, em o
sede, sede
da, de o
Pacwest, Pacwest
,, ,
localizada, localizar
em, em
Indianápolis, Indianápolis
(, (
meio-oeste, meio-oeste
dos, de o
EUA, EUA
), )
., .

, 

Apenas, apenas
o, o
carro, carro
reserva, reserva
será, ser
usado, usar
para, para
testes, teste
,, ,
visando, visar
à, a o
preparação, preparação
para, para
a, o
corrida, corrida
., .

, 

`, `
`, `
Aqui, aqui
em, em
Indianápolis, Indianápolis
,, ,
quem, quem
se, se
classifica, classificar
é, ser
o, o
carro, carro
,, ,
não, não
o, o
piloto, piloto
., .
Por, por
isso, isso
,, ,
não, não
podemos, poder
correr, correr
o, o
risco, risco
de, de
perder, perder
num, em um
treino, treino
livre, livre
um, um
carro, carro
já, já
classificado, classificar
'', ''
,, ,
afirmou, afirmar
Gugelmin, Gugelmin
., .

, 

Todas, todo
os, o
ajustes, ajuste
que, que
forem, ser
feitos, fazer
no, em o
carro, carro
reserva, reserva
de, de
Gugelmin, Gugelmin
também, também
serão, ser
realizados, realizar
no, em o
carro, carro
principal, principal
,, ,
a, a
ser, ser
usado, usar
na, em o
prova, prova
., .

, 

A, o
equipe, equipe
Tasman, Tasman
,, ,
do, de o
também, também
brasileiro, brasileiro
André, André
Ribeiro, Ribeiro
,, ,
vai, ir
ainda, ainda
mais, mais
longe, longe
., .

, 

Depois, depois
que, que
o, o
brasileiro, brasileiro
se, se
tornou, tornar
o, o
mais, mais
rápido, rápido
`, `
`, `
rookie, Rookie
'', ''
(, (
iniciante, iniciante
), )
da, de o
história, história
de, de
Indianápolis, Indianápolis
,, ,
a, o
escuderia, escuderia
pretende, pretender
acertar, acertar
o, o
carro, carro
principal, principal
para, para
as, o
500, 500
Milhas, milha
no, em o
início, início
da, de o
semana, semana
., .

, 

O, o
carro, carro
reserva, reserva
seria, ser
levado, levar
para, para
Milwaukee, Milwaukee
(, (
norte, norte
dos, de o
EUA, EUA
), )
., .

, 

Lá, lá
,, ,
o, o
time, time
já, já
faria, fazer
os, o
primeiros, primeiro
testes, teste
para, para
a, o
sétima, sétimo
etapa, etapa
da, de o
Indy, Indy
,, ,
marcada, marcar
para, para
o, o
dia, dia
4, 4
de, de
junho, junho
no, em o
circuito, circuito
oval, oval
daquela, de aquele
cidade, cidade
., .

, 

A, o
situação, situação
de, de
Emerson, Emerson
Fittipaldi, Fittipaldi
,, ,
duas, dois
vezes, vez
vencedor, vencedor
das, de o
500, 500
Milhas, milha
,, ,
é, ser
bem, bem
diferente, diferente
., .

, 

`, `
`, `
A, a
partir, partir
de, de
segunda-feira, segunda-feira
,, ,
vamos, ir
trabalhar, trabalhar
para, para
acertar, acertar
o, o
carro, carro
'', ''
,, ,
contou, contar
ele, ele
., .

, 

`, `
`, `
Andar, Andar
de, de
tanque, tanque
cheio, cheio
e, e
preparar, preparar
para, para
a, o
corrida, corrida
,, ,
só, só
se, se
for, ser
no, em o
finalzinho, finalzinho
da, de o
semana, semana
'', ''
,, ,
completou, completar
o, o
brasileiro, brasileiro
., .

, 

LIGUE, LIGUE

, 

para, para
o, o
Folha, Folha
Informações, Informações
Esporte, Esporte
,, ,
900-0316, 900-0316
,, ,
e, e
saiba, saber
quem, quem
fez, fazer
a, o
pole, pole
position, position
das, de o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
., .
A, o
ligação, ligação
custa, custar
R$, R$
1,17, 1,17
por, por
minuto, minuto
e, e
o, o
serviço, serviço
funciona, funcionar
em, em
todo, todo
o, o
Estado, estado
de, de
São, São
Paulo, Paulo

, 

NA, NA
TV, tv

, 

SBT, SBT
,, ,
programa, programa
especial, especial
sobre, sobre
a, o
Indy, Indy
,, ,
às, a o
8h30, 8h30

, 

