Serão, ﻿Serão
nova, novo
esperança, esperança
norte-americana, norte-americano
,, ,
Lindsay, Lindsay
Davenport, Davenport
(, (
nº, nº
16, 16
), )
., .
Apesar, apesar
do, de o
vigor, vigor
de, de
seus, seu
17, 17
anos, ano
e, e
1,82, 1,82
m, m
,, ,
Davenport, Davenport
não, não
deve, dever
resistir, resistir
ao, a o
jogo, jogo
da, de o
melhor, bom
do, de o
mundo, mundo
., .
", "
Tenho, ter
que, que
sacar, sacar
muito, muito
bem, bem
para, para
ter, ter
alguma, algum
chance, chance
diante, diante
de, de
Steffi, Steffi
", "
,, ,
analisou, analisar
Davenport, Davenport
., .
Enquanto, enquanto
a, o
norte-americana, norte-americana
se, se
preocupa, preocupar
com, com
o, o
jogo, jogo
,, ,
Graf, Graf
está, estar
mais, mais
ocupada, ocupado
em, em
fugir, fugir
dos, de o
fotógrafos, fotógrafo
em, em
Melbourne, Melbourne
., .
A, o
tenista, tenista
alemã, alemã
tem, ter
reclamado, reclamar
do, de o
assédio, assédio
,, ,
que, que
,, ,
segundo, segundo
ela, ela
,, ,
estaria, estar
atrapalhando, atrapalhar
seus, seu
exercícios, exercício
físicos, físico
diários, diário
no, em o
ginásio, ginásio
do, de o
complexo, complexo
de, de
Flinders, Flinders
Park, Park
., .

, 

Fechando, Fechando
as, o
oitavas-de-final, oitava-de-final
,, ,
a, o
partida, partida
mais, mais
equilibrada, equilibrar
da, de o
rodada, rodada
,, ,
entre, entre
a, o
argentina, argentina
Gabriela, Gabriela
Sabatini, Sabatini
(, (
nº, nº
), )
e, e
a, o
tcheca, tcheca
Jana, Jana
Novotna, Novotna
(, (
nº, nº
5, 5
), )
., .
Sem, sem
dúvida, dúvida
,, ,
um, um
jogo, jogo
sem, sem
favorita, favorita
,, ,
apesar, apesar
da, de o
grande, grande
maioria, maioria
da, de o
torcida, torcida
australiana, australiano
apoiar, apoiar
a, o
tenista, tenista
argentina, argentina
., .

, 

Ontem, ontem
,, ,
as, o
três, três
últimas, último
vagas, vaga
nas, em o
oitavas-de-final, oitava-de-final
da, de o
chave, chave
masculina, masculino
foram, ser
definidas, definir
., .
Thomas, Thomas
Muster, Muster
(, (
Áustria, Áustria
), )
venceu, vencer
Alexander, Alexander
Volkov, Volkov
(, (
Rússia, Rússia
), )
por, por
6/3, 6/3
,, ,
6/3, 6/3
e, e
6/2, 6/2
., .
O, o
marcador, marcador
aparentemente, aparentemente
tranquilo, tranquilo
não, não
impediu, impedir
Muster, Muster
de, de
dar, dar
seu, seu
show, show
habitual, habitual
de, de
reclamações, reclamação
com, com
juízes, juíz
e, e
público, público
., .
", "
Eles, eles
sempre, sempre
me, eu
tratam, tratar
mal, mal
", "
,, ,
disse, dizer
Muster, Muster
., .
O, o
sueco, sueco
Stefan, Stefan
Edberg, Edberg
,, ,
um, um
dos, de o
principais, principal
favoritos, favorito
ao, a o
título, título
,, ,
derrotou, derrotar
seu, seu
compatriota, compatriota
Lars, Lars
Jonsson, Jonsson
,, ,
vencendo, vencer
os, o
três, três
sets, set
pelo, por o
placar, placar
de, de
6/4, 6/4
., .
No, em o
jogo, jogo
mais, mais
equilibrado, equilibrado
do, de o
dia, dia
,, ,
o, o
norte-americano, norte-americano
MaliVai, MaliVai
Washington, Washington
eliminou, eliminar
o, o
veterano, veterano
Mats, Mats
Wilander, Wilander
em, em
cinco, cinco
sets, set
(, (
leia, ler
texto, texto
ao, a o
lado, lado
), )
., .

, 

