Começa, ﻿Começa
austríaco, austríaco
Thomas, Thomas
Muster, Muster
ganha, ganhar
a, o
condição, condição
de, de
real, real
favorito, favorito
., .
Este, este
ano, ano
ele, ele
já, já
conquistou, conquistar
cinco, cinco
títulos, título
em, em
torneios, torneio
de, de
saibro, saibro
., .

, 

Sergi, Sergi
Bruguera, Bruguera
não, não
está, estar
em, em
boa, bom
fase, fase
e, e
é, ser
apenas, apenas
o, o
cabeça-de-chave, cabeça-de-chave
nº, nº
7, 7
,, ,
mas, mas
pode, poder
ser, ser
o, o
maior, grande
rival, rival
de, de
Muster, Muster
., .
No, em o
ano, ano
passado, passado
,, ,
seu, seu
bicampeonato, bicampeonato
também, também
contou, contar
com, com
uma, um
boa, bom
dose, dose
de, de
sorte, sorte
., .

, 

Na, em o
semifinal, semifinal
de, de
94, 94
,, ,
começou, começar
jogando, jogar
mal, mal
contra, contra
Jim, Jim
Courier, Courier
(, (
EUA, EUA
), )
,, ,
mas, mas
foi, ser
favorecido, favorecir
por, por
uma, um
ventania, ventania
que, que
assolou, assolar
Paris, Paris
., .

, 

O, o
verdadeiro, verdadeiro
tufão, tufão
anulou, anular
totalmente, totalmente
o, o
saque, saque
de, de
Courier, Courier
,, ,
que, que
estava, estar
sendo, ser
decisivo, decisivo
para, para
o, o
placar, placar
., .
A, o
partida, partida
se, se
transformou, transformar
numa, em um
loteria, loteria
e, e
Bruguera, Bruguera
teve, ter
mais, mais
sorte, sorte
., .

, 

